year,competition,name,noc,rank_AA,apparatus,rotation,D_score,E_score,final_score,,,,
2023,European Championships,GADIROVA Jessica ,GBR,1,VT,1,5.0 ,9.100 ,14.100 ,,,,
2023,European Championships,GADIROVA Jessica ,GBR,1,UB,2,5.7 ,7.766 ,13.466 ,,,,
2023,European Championships,GADIROVA Jessica ,GBR,1,BB,3,5.7 ,7.833 ,13.533 ,,,,
2023,European Championships,GADIROVA Jessica ,GBR,1,FX,4,5.8 ,8.133 ,13.933 ,,,,
2023,European Championships,KOVACS Zsofia,HUN,2,VT,1,5.0 ,9.100 ,14.100 ,,,,
2023,European Championships,KOVACS Zsofia,HUN,2,UB,2,6.2 ,7.500 ,13.700 ,,,,
2023,European Championships,KOVACS Zsofia,HUN,2,BB,3,5.9 ,7.933 ,13.833 ,,,,
2023,European Championships,KOVACS Zsofia,HUN,2,FX,4,5.7 ,7.566 ,13.266 ,,,,
2023,European Championships,D'AMATO Alice ,ITA,3,VT,1,5.0 ,9.000 ,14.000 ,,,,
2023,European Championships,D'AMATO Alice ,ITA,3,UB,2,6.1 ,8.300 ,14.400 ,,,,
2023,European Championships,D'AMATO Alice ,ITA,3,BB,3,5.4 ,7.600 ,13.000 ,,,,
2023,European Championships,D'AMATO Alice ,ITA,3,FX,4,5.4 ,7.700 ,13.100 ,,,,
2023,European Championships,VAELEN Lisa ,BEL,4,VT,1,5.4 ,8.933 ,14.333 ,,,,
2023,European Championships,VAELEN Lisa ,BEL,4,UB,2,5.8 ,7.900 ,13.700 ,,,,
2023,European Championships,VAELEN Lisa ,BEL,4,BB,3,5.1 ,7.833 ,12.933 ,,,,
2023,European Championships,VAELEN Lisa ,BEL,4,FX,4,5.3 ,7.833 ,13.133 ,,,,
2023,European Championships,BRASSART Maellyse ,BEL,5,VT,2,4.2 ,9.133 ,13.333 ,,,,
2023,European Championships,BRASSART Maellyse ,BEL,5,UB,3,5.6 ,8.066 ,13.666 ,,,,
2023,European Championships,BRASSART Maellyse ,BEL,5,BB,4,5.6 ,7.800 ,13.400 ,,,,
2023,European Championships,BRASSART Maellyse ,BEL,5,FX,1,4.9 ,7.566 ,12.466 ,,,,
2023,European Championships,THORSDOTTIR Eythora ,NED,6,VT,4,5.0 ,8.933 ,13.933 ,,,,
2023,European Championships,THORSDOTTIR Eythora ,NED,6,UB,1,5.5 ,7.700 ,13.200 ,,,,
2023,European Championships,THORSDOTTIR Eythora ,NED,6,BB,2,4.9 ,8.000 ,12.900 ,,,,
2023,European Championships,THORSDOTTIR Eythora ,NED,6,FX,3,5.1 ,7.600 ,12.700 ,,,,
2023,European Championships,VISSER Naomi ,NED,7,VT,1,4.2 ,9.066 ,13.266 ,,,,
2023,European Championships,VISSER Naomi ,NED,7,UB,2,5.9 ,8.133 ,14.033 ,,,,
2023,European Championships,VISSER Naomi ,NED,7,BB,3,5.2 ,6.900 ,12.100 ,,,,
2023,European Championships,VISSER Naomi ,NED,7,FX,4,5.6 ,7.600 ,13.200 ,,,,
